crc32flipped,id
0246E3F6,305
034BDDEA,163
03F22610,327
0415B6E4,6
054F0BA6,120
069DAA3E,231
081C904F,322
08374824,126
098ED4F3,213
0A04C3E9,200
0A8CA728,204
0C42B946,329
0E28F71F,150
0E93E25E,313
0F6CD826,332
0F9419C3,130
107A553D,107
10817BC3,68
10E51706,70
111A2D7E,92
114311F4,45
115D134D,67
12341FE5,203
140C0771,294
149FCC50,152
1565FD45,177
1592A917,284
15AA0183,91
16567BF3,340
166A6517,83
16C1CFD8,51
1733C65E,167
1788D31F,330
18EB5F66,326
1A00108D,297
1A1F56C9,115
1B34514E,153
1EF716A8,5
1F193D08,40
1FDC293C,174
229CF141,164
23973F18,23
23994D02,15
24335F6F,44
247A8FAE,54
25F13558,73
27146227,336
27B78B01,94
286863C6,283
2880E261,35
2903B92B,324
2929E69A,293
29D60FB0,312
2A86E83F,36
2AE6BF53,202
2B1919A4,59
2D72399A,279
2E9B686A,239
3018886A,3
304B380D,173
315C7445,72
33019BED,149
3304CCC2,219
34231C8D,123
34311C5F,81
3453437F,267
373121D6,128
375D9E2D,31
37754C73,89
37E4CD67,84
39687B2D,277
39C492F4,335
3A45AA37,121
3ACD2E66,71
3B0864E9,158
3B87C000,147
3C1E959D,86
3C3929FF,228
3E52814C,175
3FF6E484,57
4021CC82,109
40727CE5,113
40E3FDF1,111
416EDA97,233
418A184D,29
426CA94C,188
43242C1B,151
436E384D,280
4403FC54,206
459B0AAA,33
471FB8FC,26
474C089B,195
478E39E8,22
488EB552,134
48A9A055,100
490E10CA,106
4B19A50B,77
4BABD38E,119
4C42B8EC,79
4C4D7B2F,282
4E3A871B,288
4F5E03B3,257
4F783803,65
5172D1A0,145
518C0378,50
52F605CE,95
532FBE81,275
53346FF9,76
533FB7A3,49
5340C06C,64
537F986A,304
54B48560,207
556F5053,186
56630942,88
56794D9E,129
57B42A33,209
58F852B2,244
5BFFCCCC,132
5C8F28F5,269
5CB32E00,192
5E0489BD,2
5FD2B416,189
6090973F,208
60DA1D29,224
61514B65,19
616D5581,110
6211B075,104
62AD3115,116
63835929,159
63FF5922,212
6570433A,131
66009198,21
66442162,63
665A23DB,90
665F88D3,298
66F3610A,256
681E0D9E,20
6881ABE9,272
68C3B82E,93
68DB19AA,196
695F8AD3,225
6B5EA5C1,80
6C3361D8,170
6C366813,234
6C9A81CA,34
6D18665F,137
6D34EE04,264
6D3B03E3,176
6EB383E5,201
6EBF00B6,248
6FA61CC8,171
6FEC6FF0,4
70144B4F,240
7189CE30,24
719A9AA8,252
737399F4,247
76D230BE,9
77703304,37
79B03EEC,143
7B4D7C50,181
7BE19589,99
7C2F8668,220
7F1BA0D9,341
80E11FD6,260
81E20EDC,47
82093B7B,166
83202E11,255
8403A0CB,217
84E3E80E,302
8550C4ED,127
856654BE,273
85F44710,108
8663D83C,251
868FCAC5,311
86BB34EB,14
87A1B20B,230
880EF0B4,61
8832EE50,60
884A404E,25
89310A34,185
895753FD,190
89882A79,48
8ACFD121,198
8B0237AF,265
8BCE9420,328
8C90B147,254
8C9F148F,105
8CA35039,69
8D0556CB,274
8DC4DA09,7
8DF7C81C,13
8E8182A5,314
8EE5EE60,142
8F5F2A49,321
8F6334AD,156
8FFAFC5D,262
9189B2F9,122
9378B488,300
93BEC45D,331
948F176E,74
94E93ED2,287
95508868,103
95E05716,323
95F8EEE3,318
979AB3E4,292
97D3FB50,253
983BFFFA,125
98FF23B1,222
99FA2E97,236
9E251EA9,232
9E4A1E77,96
9F060FF5,333
9F78E97D,270
9F94FB84,290
A0308154,258
A030E5E9,172
A09C688D,8
A1969E28,303
A32DDC24,223
A34CFB8D,182
A4213F94,97
A6481B27,144
A75D21F0,246
A7CA51E2,161
A8048E3C,55
A911D9D0,325
A98058C4,62
AAFF757A,87
ABA2A82E,82
AC6D5FA8,338
AC8CE1C8,211
AD384DE5,58
AD4E8BFF,229
AD605961,238
AE2FADAE,155
AE7C1DC9,66
AEED9CDD,157
B00AE891,310
B161327C,268
B2286B10,38
B2D77D54,215
B455BABE,210
B47B6820,218
B597D089,199
B6DA7E7B,266
B74B9517,317
B79239D0,221
B7E77CCE,295
B9648D08,337
B9B1EBF0,0
BB95A0FB,214
BD612636,285
BD915D29,286
BDCD240B,301
BE1D339D,320
BF7CB08C,179
BF7F9A7F,316
BF8BF932,307
C2003417,197
C37C58B6,237
C4A676C0,334
C5E73B2F,160
C6637578,193
C70DD807,289
C8CFBCCF,85
C8E024CC,141
C9B9EA2D,146
C9E50B38,235
CA3D3E43,98
CACA149D,319
CB140D49,75
CCDF2325,263
CCE3AEAF,299
CD50FA5A,184
CEBD7B89,194
CFE1DD74,276
D0CD6174,140
D15DB3F5,56
D1FB158D,112
D25FC02E,32
D35D2947,281
D409F6E4,12
D42AECB2,241
D44BCB1B,165
D47B0845,138
D57D30A8,148
D6AA1013,183
D9289D38,133
D97B2D5F,46
D9EAAC4B,136
DA6769F7,261
DA6BCF46,180
DB6A6F3E,18
DB98BAEC,10
DD0AADEE,191
DE5275DE,154
DE876852,42
DE9E1F7B,315
DEC3957A,306
E1FF4D03,11
E29B53E7,249
E33FD400,339
E3CD770F,162
E4334F90,250
E675C7CA,78
E74B522A,187
E87C66E9,53
E893CB12,271
EA68C8E0,309
EC49EDDB,205
ECBFA454,16
ED757061,227
F03AC2CE,139
F0652347,308
F07B85D5,43
F0C6C05B,118
F188FA53,291
F19B83D6,30
F252D359,169
F257F47B,101
F398ECFF,245
F53F1740,242
F56E926A,216
F5C27BB3,52
F6E53E4A,27
F75D3A01,117
F795E3E0,1
F7A6BE99,17
F7E62F40,278
F864043B,135
F93DA772,124
F9658C58,243
F999C685,226
F9E2DEF6,114
FAD6464E,178
FBE4107E,168
FDC1EE00,102
FDF674DB,296
FEEB762A,28
FF09C022,41
FF35DEC6,39
FFAB9B73,259
